"Deck ID","Deck URL","Colours"
"Painbow","https://moxfield.com/decks/VI61h_QqUEKf5tLvM5Pdcg","Black,Blue,Green,Red,White"
"Paradox Power","https://moxfield.com/decks/l-e7-HDtsk2hXy5HK7ASuQ","Blue,Green,Red"
"Party Time (Battle for Baldur's Gate Commander Precon De","https://moxfield.com/decks/h1KFxvzBG0-tkfZVfBJg1A","Black,White"
"Peace Offering","https://moxfield.com/decks/bTMR5Ab1PU-5UzXaQ_OsgQ","Blue,Green,White"
"Peer Through Time","https://moxfield.com/decks/eI5qvS1WQUqLpM4s4OcFXQ","Blue"
"Phantom Premonition","https://moxfield.com/decks/Go1B3kYCPk6ckaI7hPdShw","Blue,White"
"Planar Portal (Adventures in the Forgotten Realms Comman","https://moxfield.com/decks/3JwMHo6ANUeV4t-0eNLA5A","Black,Red"
"Planeswalker Party","https://moxfield.com/decks/8eidLxMRBkqRWg9yIN8nyA","Blue,Red,White"
"Plunder the Graves","https://moxfield.com/decks/q30rAFH1j0aXV_UyLgUsDg","Black,Green"
"Plunder the Graves","https://moxfield.com/decks/EK6p0em0TEiKr4lVHSgWnA","Black,Green"
"Political Puppets","https://moxfield.com/decks/Hq90LxdWMUCbrG9fdU3HaQ","Blue,Red,White"
"Power Hungry","https://moxfield.com/decks/O3zgKgwidEaOkEc0KeyRow","Black,Green,Red"
"Primal Genesis","https://moxfield.com/decks/647BlyGrEUCXfNB-PTvCxQ","Green,Red,White"
"Prismari Performance","https://moxfield.com/decks/aPbAlXnx1kKMj7EYicfvsg","Blue,Red"
"Quantum Quandrix","https://moxfield.com/decks/hNhQ07wNf0e7423P6S1P1g","Blue,Green"
"Quick Draw (Outlaws of Thunder Junction Commander Precon","https://moxfield.com/decks/wpucJrNlHUSL8zosshILkQ","Blue,Red"
"Raining Cats and Dogs (Secret Lair Commander 2024 Precon","https://moxfield.com/decks/G0y9ltIwoUysUSoAYtyFfA","Green,Red,White"
"Reap the Tides","https://moxfield.com/decks/K3C1rLmFKE-14OeUeHxdYQ","Blue,Green"
"Rebellion Rising (Phyrexia All Will Be One Commander Pre","https://moxfield.com/decks/RHTNEgHYMUigpM8XFwqUeQ","Red,White"
"Revenant Recon (Murders at Karlov Manor Commander Precon","https://moxfield.com/decks/iGDLYBkYqEGQOinzm-807g","Black,Blue"
"Revival Trance","https://moxfield.com/decks/TdOsPBP3302BdskyLVzU-A","Black,Red,White"
"Revival Trance Collector's Edition (Final Fantasy Comman","https://moxfield.com/decks/wP8d8ugZaEWz2N9B-nMWeA","Black,Red,White"
"Riders of Rohan (The Lord of the Rings Commander Precon","https://moxfield.com/decks/wWL4dez0i0euOvWSpmQ7UQ","Blue,Red,White"
"Riveteers Rampage (Streets of New Capenna Commander Prec","https://moxfield.com/decks/fTgFMxk5cESAhOVIks00kA","Black,Green,Red"
"Ruthless Regiment","https://moxfield.com/decks/7a4bmlDVbEeIlvXYrlTIIA","Black,Red,White"
"Science!","https://moxfield.com/decks/BA1a99vfi0W0YLlGC97t-A","Blue,Red,White"
"Scions & Spellcraft (Final Fantasy Commander Precon Deck","https://moxfield.com/decks/3s_W4MAiukee07B9aAs5EQ","Black,Blue,White"
"Scions & Spellcraft Collector's Edition (Final Fantasy C","https://moxfield.com/decks/MFOA7Dh8LUiAE6_cehbrEA","Black,Blue,White"
"Scrappy Survivors","https://moxfield.com/decks/Z2KWcwO1u0GvQC4gbVjPZw","Green,Red,White"
"Seize Control","https://moxfield.com/decks/qfOr1nvopUeSE7VOvrWx-A","Blue,Red"
"Silverquill Statement","https://moxfield.com/decks/_dM2RHtVoUqDHjMko8X4pQ","Black,White"
"Sliver Swarm","https://moxfield.com/decks/VgocEf5MwUC9SxeIj4iXzQ","Black,Blue,Green,Red,White"
"Sneak Attack","https://moxfield.com/decks/xaAqhJektkCFh_HAR8cBMg","Black,Blue"
"Spirit Squadron (Innistrad: Crimson Vow Commander Precon","https://moxfield.com/decks/zoNqxklcjEyz2NZ9MI6jpA","Blue,White"
"Squirreled Away","https://moxfield.com/decks/sxWCdd1NJ0q5JytH2RJyuA","Black,Green"
"Stalwart Unity","https://moxfield.com/decks/F1sBofALcku8lucubWf4oQ","Blue,Green,Red,White"
"Subjective Reality","https://moxfield.com/decks/7Eph6jxhJkekY-as0pl7XA","Black,Blue,White"
"Sultai Arisen (Tarkir Dragonstorm Commander Precon Deckl","https://moxfield.com/decks/ckpy_1FNIEiFMXqyA6NbYQ","Black,Blue,Green"
"Swell the Host","https://moxfield.com/decks/m0KtPnA--U2IjyoF_oPP8Q","Blue,Green"
"Sworn to Darkness","https://moxfield.com/decks/Ta08Su5JcEGKM4IO9xQLXA","Black"
"Symbiotic Swarm","https://moxfield.com/decks/VdxcZ7n6skOrhuElFAa5bg","Black,Green,White"
"Temur Roar (Tarkir Dragonstorm Commander Precon Decklist","https://moxfield.com/decks/dp8QKvCr3EqGF9-qu5Zzfg","Blue,Green,Red"
"The Hosts of Mordor (The Lord of the Rings Commander Pre","https://moxfield.com/decks/Z4cD-XEZRUuH4W9jB_SvuA","Black,Blue,Red"
